no,company, subject, region, carrier, start_date, end_date회
3976 (주)서울에이브이,'CCTV, 방송 설비 설치기사 및 설계직 모집',대구,신입경력,2018.04.06,2018.05.31,50
3975 (주)삼진탑테크엔지니어링,'PQ대기 통신감리, 통신기술사(감리) 구인',전국,신입경력,2018.04.06,2018.04.30,156
3973 (주)대성종합건축사사무소,'정보통신 기술사 구함(특급감리)',대구,경력,2018.04.05,2018.04.16,200
3972 (주)대성종합건축사사무소,'정보통신 상주 특급감리원 및 통신기술사 구함',전국,경력,2018.04.05,2018.04.16,270
3969 (주)로지시스,'금융권 PC 전산장비 유지보수',전국,신입경력,2018.04.05,2018.04.30,54
3968 (주)한국전기,'통신기술자 구인합니다. (초급)',전국,경력,2018.04.04,2018.04.13,155
3956 (주)삼진탑테크엔지니어링,'PQ대기 통신감리, 통신기술사(감리) 구인',전국,신입경력,2018.04.02,2018.04.30,233
3955 (주)해오름이엔씨,'현장근무(고급 기술자) 구합니다.',대구,경력,2018.03.31,2018.04.05,357
3950 (주)대성종합건축사사무소,'통신 기술사 구함.',대구,경력,2018.03.29,2018.04.18,237
3946 (주)삼진탑테크엔지니어링,'PQ대기 통신감리, 통신기술사(감리) 구인',전국,신입경력,2018.03.27,2018.04.30,338
